Site,Date,Species,Conc.,Conc_Raw,day,month,year,ID,chapter,Q_daily,Q_ID,depth_daily,Water_press,Temp_PT,pH_daily
9GW1,2024-03-25,DOC,140.2,140.2,25,3,2024,9,RC,107.05807954835709,low,0.18772127625063326,0.5043999999999986,60.368,3.7490808685721424
5GW4,2024-04-18,DIC,52.68,52.68,18,4,2024,5,RC,70.16256797090713,low,0.08740681663181497,0.8019999999999996,67.392,4.236432120210279
5GW4,2024-04-18,DOC,27.82,27.82,18,4,2024,5,RC,70.16256797090713,low,0.08740681663181497,0.8019999999999996,67.392,4.236432120210279
5GW2,2024-04-18,DIC,37.54,37.54,18,4,2024,5,RC,70.16256797090713,low,0.08740681663181497,0.8019999999999996,67.392,4.236432120210279
5GW2,2024-04-18,DOC,18.59,18.59,18,4,2024,5,RC,70.16256797090713,low,0.08740681663181497,0.8019999999999996,67.392,4.236432120210279
5GW3,2024-04-18,DIC,59.75,59.75,18,4,2024,5,RC,70.16256797090713,low,0.08740681663181497,0.8019999999999996,67.392,4.236432120210279
5GW3,2024-04-18,DOC,40.85,40.85,18,4,2024,5,RC,70.16256797090713,low,0.08740681663181497,0.8019999999999996,67.392,4.236432120210279
5GW5,2024-04-18,DIC,56.45,56.45,18,4,2024,5,RC,70.16256797090713,low,0.08740681663181497,0.8019999999999996,67.392,4.236432120210279
5GW5,2024-04-18,DOC,39.78,39.78,18,4,2024,5,RC,70.16256797090713,low,0.08740681663181497,0.8019999999999996,67.392,4.236432120210279
9GW1,2024-04-18,DIC,89.07,89.07,18,4,2024,9,RC,51.296525062676885,low,0.11420670371643765,0.4021999999999988,67.564,4.421162032531347
9GW1,2024-04-18,DOC,79.24,79.24,18,4,2024,9,RC,51.296525062676885,low,0.11420670371643765,0.4021999999999988,67.564,4.421162032531347
5GW6,2024-04-18,DIC,89.98,89.98,18,4,2024,5,RC,70.16256797090713,low,0.08740681663181497,0.8019999999999996,67.392,4.236432120210279
5GW6,2024-04-18,DOC,66.07,66.07,18,4,2024,5,RC,70.16256797090713,low,0.08740681663181497,0.8019999999999996,67.392,4.236432120210279
9GW3,2024-04-18,DIC,75.86,75.86,18,4,2024,9,RC,51.296525062676885,low,0.11420670371643765,0.4021999999999988,67.564,4.421162032531347
9GW3,2024-04-18,DOC,63.51,63.51,18,4,2024,9,RC,51.296525062676885,low,0.11420670371643765,0.4021999999999988,67.564,4.421162032531347
5GW1,2024-04-18,DIC,40.78,40.78,18,4,2024,5,RC,70.16256797090713,low,0.08740681663181497,0.8019999999999996,67.392,4.236432120210279
5GW1,2024-04-18,DOC,23.57,23.57,18,4,2024,5,RC,70.16256797090713,low,0.08740681663181497,0.8019999999999996,67.392,4.236432120210279
6GW5,2024-04-18,DIC,56.95,56.95,18,4,2024,6,RC,49.88704812988734,high,0.11567169330142903,0.8339000000000016,64.481,3.815574170482266
6GW5,2024-04-18,DOC,30.42,30.42,18,4,2024,6,RC,49.88704812988734,high,0.11567169330142903,0.8339000000000016,64.481,3.815574170482266
6GW3,2024-04-18,DIC,78.21,78.21,18,4,2024,6,RC,49.88704812988734,high,0.11567169330142903,0.8339000000000016,64.481,3.815574170482266
6GW3,2024-04-18,DOC,60.98,60.98,18,4,2024,6,RC,49.88704812988734,high,0.11567169330142903,0.8339000000000016,64.481,3.815574170482266
6GW1,2024-04-18,DIC,55.13,55.13,18,4,2024,6,RC,49.88704812988734,high,0.11567169330142903,0.8339000000000016,64.481,3.815574170482266
6GW1,2024-04-18,DOC,47.37,47.37,18,4,2024,6,RC,49.88704812988734,high,0.11567169330142903,0.8339000000000016,64.481,3.815574170482266
6GW4,2024-04-18,DIC,58.57,58.57,18,4,2024,6,RC,49.88704812988734,high,0.11567169330142903,0.8339000000000016,64.481,3.815574170482266
6GW4,2024-04-18,DOC,50.42,50.42,18,4,2024,6,RC,49.88704812988734,high,0.11567169330142903,0.8339000000000016,64.481,3.815574170482266
5GW7,2024-04-18,DIC,31.56,31.56,18,4,2024,5,RC,70.16256797090713,low,0.08740681663181497,0.8019999999999996,67.392,4.236432120210279
5GW7,2024-04-18,DOC,21.63,21.63,18,4,2024,5,RC,70.16256797090713,low,0.08740681663181497,0.8019999999999996,67.392,4.236432120210279
9GW2,2024-04-18,DIC,88.23,88.23,18,4,2024,9,RC,51.296525062676885,low,0.11420670371643765,0.4021999999999988,67.564,4.421162032531347
9GW2,2024-04-18,DOC,74.58,74.58,18,4,2024,9,RC,51.296525062676885,low,0.11420670371643765,0.4021999999999988,67.564,4.421162032531347
9GW4,2024-04-18,DIC,63.4,63.4,18,4,2024,9,RC,51.296525062676885,low,0.11420670371643765,0.4021999999999988,67.564,4.421162032531347
9GW4,2024-04-18,DOC,38.9,38.9,18,4,2024,9,RC,51.296525062676885,low,0.11420670371643765,0.4021999999999988,67.564,4.421162032531347
6GW2,2024-04-18,DIC,47.15,47.15,18,4,2024,6,RC,49.88704812988734,high,0.11567169330142903,0.8339000000000016,64.481,3.815574170482266
6GW2,2024-04-18,DOC,38.69,38.69,18,4,2024,6,RC,49.88704812988734,high,0.11567169330142903,0.8339000000000016,64.481,3.815574170482266
5GW3,2024-05-08,DIC,80.83,80.83,8,5,2024,5,RC,26.851857657301817,low,0.030934675715505004,0.7355,70.308,5.058557392586328
5GW3,2024-05-08,DOC,49.53,49.53,8,5,2024,5,RC,26.851857657301817,low,0.030934675715505004,0.7355,70.308,5.058557392586328
9GW2,2024-05-08,DIC,95.87,95.87,8,5,2024,9,RC,3.7421316402863387,high,0.018582500022142946,0.26670000000000016,73.58,3.5347496102735443
9GW2,2024-05-08,DOC,74.13,74.13,8,5,2024,9,RC,3.7421316402863387,high,0.018582500022142946,0.26670000000000016,73.58,3.5347496102735443
9GW1,2024-05-08,DIC,93.94,93.94,8,5,2024,9,RC,3.7421316402863387,high,0.018582500022142946,0.26670000000000016,73.58,3.5347496102735443
9GW1,2024-05-08,DOC,86.16,86.16,8,5,2024,9,RC,3.7421316402863387,high,0.018582500022142946,0.26670000000000016,73.58,3.5347496102735443
9GW4,2024-05-08,DIC,60.39,60.39,8,5,2024,9,RC,3.7421316402863387,high,0.018582500022142946,0.26670000000000016,73.58,3.5347496102735443
9GW4,2024-05-08,DOC,32.94,32.94,8,5,2024,9,RC,3.7421316402863387,high,0.018582500022142946,0.26670000000000016,73.58,3.5347496102735443
9GW3,2024-05-08,DIC,89.06,89.06,8,5,2024,9,RC,3.7421316402863387,high,0.018582500022142946,0.26670000000000016,73.58,3.5347496102735443
9GW3,2024-05-08,DOC,62.95,62.95,8,5,2024,9,RC,3.7421316402863387,high,0.018582500022142946,0.26670000000000016,73.58,3.5347496102735443
5GW2,2024-05-30,DIC,54.95,54.95,30,5,2024,5,RC,NA,NA,-0.021342701566521974,0.6605000000000008,73.234,5.0556432105882205
5GW2,2024-05-30,DOC,31.18,31.18,30,5,2024,5,RC,NA,NA,-0.021342701566521974,0.6605000000000008,73.234,5.0556432105882205
5GW3,2024-05-30,DIC,68.98,68.98,30,5,2024,5,RC,NA,NA,-0.021342701566521974,0.6605000000000008,73.234,5.0556432105882205
5GW3,2024-05-30,DOC,47.96,47.96,30,5,2024,5,RC,NA,NA,-0.021342701566521974,0.6605000000000008,73.234,5.0556432105882205
5GW4,2024-05-30,DIC,61.14,61.14,30,5,2024,5,RC,NA,NA,-0.021342701566521974,0.6605000000000008,73.234,5.0556432105882205
5GW4,2024-05-30,DOC,45.41,45.41,30,5,2024,5,RC,NA,NA,-0.021342701566521974,0.6605000000000008,73.234,5.0556432105882205
5GW5,2024-05-30,DIC,66.24,66.24,30,5,2024,5,RC,NA,NA,-0.021342701566521974,0.6605000000000008,73.234,5.0556432105882205
5GW5,2024-05-30,DOC,47.84,47.84,30,5,2024,5,RC,NA,NA,-0.021342701566521974,0.6605000000000008,73.234,5.0556432105882205
5GW6,2024-05-30,DIC,81.49,81.49,30,5,2024,5,RC,NA,NA,-0.021342701566521974,0.6605000000000008,73.234,5.0556432105882205
5GW6,2024-05-30,DOC,63.29,63.29,30,5,2024,5,RC,NA,NA,-0.021342701566521974,0.6605000000000008,73.234,5.0556432105882205
6GW3,2024-05-30,DIC,76.4,76.4,30,5,2024,6,RC,NA,NA,-0.10086146354110864,0.5158000000000005,69.964,3.8401039856855634
6GW3,2024-05-30,DOC,68.06,68.06,30,5,2024,6,RC,NA,NA,-0.10086146354110864,0.5158000000000005,69.964,3.8401039856855634
9GW1,2024-05-30,DIC,101,101,30,5,2024,9,RC,NA,NA,NA,NA,NA,4.831995420266246
9GW1,2024-05-30,DOC,96.87,96.87,30,5,2024,9,RC,NA,NA,NA,NA,NA,4.831995420266246
9GW3,2024-05-30,DIC,105.3,105.3,30,5,2024,9,RC,NA,NA,NA,NA,NA,4.831995420266246
9GW3,2024-05-30,DOC,86.76,86.76,30,5,2024,9,RC,NA,NA,NA,NA,NA,4.831995420266246
9GW4,2024-05-30,DIC,86.15,86.15,30,5,2024,9,RC,NA,NA,NA,NA,NA,4.831995420266246
9GW4,2024-05-30,DOC,67.83,67.83,30,5,2024,9,RC,NA,NA,NA,NA,NA,4.831995420266246
5GW3,2024-06-19,DIC,45.3305,45.3305,19,6,2024,5,RC,NA,NA,NA,NA,NA,3.8612412620382783
5GW3,2024-06-19,DOC,152.168,152.168,19,6,2024,5,RC,NA,NA,NA,NA,NA,3.8612412620382783
5GW6,2024-07-11,DIC,22.59959,22.59959,11,7,2024,5,RC,203.50544450080935,low,0.27717651435302865,1.0965000000000007,76.703,NA
5GW6,2024-07-11,DOC,130.161,130.161,11,7,2024,5,RC,203.50544450080935,low,0.27717651435302865,1.0965000000000007,76.703,NA
6GW4,2024-07-11,DIC,24.6452,24.6452,11,7,2024,6,RC,0.17610966704573142,NA,-1.915803831603658e-4,0.6469000000000005,73.407,NA
6GW4,2024-07-11,DOC,144.793,144.793,11,7,2024,6,RC,0.17610966704573142,NA,-1.915803831603658e-4,0.6469000000000005,73.407,NA
9GW2,2024-07-11,DIC,49.67384,49.67384,11,7,2024,9,RC,NA,NA,-0.17725435269052325,-0.02309999999999945,77.225,NA
9GW2,2024-07-11,DOC,199.309,199.309,11,7,2024,9,RC,NA,NA,-0.17725435269052325,-0.02309999999999945,77.225,NA
5GW3,2024-07-11,DIC,12.18818,12.18818,11,7,2024,5,RC,203.50544450080935,low,0.27717651435302865,1.0965000000000007,76.703,NA
5GW3,2024-07-11,DOC,127.093,127.093,11,7,2024,5,RC,203.50544450080935,low,0.27717651435302865,1.0965000000000007,76.703,NA
6GW2,2024-07-11,DIC,17.98694,17.98694,11,7,2024,6,RC,0.17610966704573142,NA,-1.915803831603658e-4,0.6469000000000005,73.407,NA
6GW2,2024-07-11,DOC,89.156,89.156,11,7,2024,6,RC,0.17610966704573142,NA,-1.915803831603658e-4,0.6469000000000005,73.407,NA
6GW1,2024-07-11,DIC,11.47766,11.47766,11,7,2024,6,RC,0.17610966704573142,NA,-1.915803831603658e-4,0.6469000000000005,73.407,NA
6GW1,2024-07-11,DOC,150.988,150.988,11,7,2024,6,RC,0.17610966704573142,NA,-1.915803831603658e-4,0.6469000000000005,73.407,NA
5GW7,2024-07-11,DIC,20.65139,20.65139,11,7,2024,5,RC,203.50544450080935,low,0.27717651435302865,1.0965000000000007,76.703,NA
5GW7,2024-07-11,DOC,125.854,125.854,11,7,2024,5,RC,203.50544450080935,low,0.27717651435302865,1.0965000000000007,76.703,NA
5GW2,2024-06-14,DIC,8.80175,8.80175,14,6,2024,5,RC,NA,NA,NA,NA,NA,3.8235794441688093
5GW2,2024-06-14,DOC,52.6291,52.6291,14,6,2024,5,RC,NA,NA,NA,NA,NA,3.8235794441688093
6GW3,2024-07-11,DIC,42.28787,42.28787,11,7,2024,6,RC,0.17610966704573142,NA,-1.915803831603658e-4,0.6469000000000005,73.407,NA
6GW3,2024-07-11,DOC,135.176,135.176,11,7,2024,6,RC,0.17610966704573142,NA,-1.915803831603658e-4,0.6469000000000005,73.407,NA
5GW4,2024-07-11,DIC,49.49621,49.49621,11,7,2024,5,RC,203.50544450080935,low,0.27717651435302865,1.0965000000000007,76.703,NA
5GW4,2024-07-11,DOC,122.786,122.786,11,7,2024,5,RC,203.50544450080935,low,0.27717651435302865,1.0965000000000007,76.703,NA
5GW7,2024-06-19,DIC,62.1194,62.1194,19,6,2024,5,RC,NA,NA,NA,NA,NA,3.8612412620382783
5GW7,2024-06-19,DOC,132.757,132.757,19,6,2024,5,RC,NA,NA,NA,NA,NA,3.8612412620382783
5GW1,2024-07-11,DIC,17.76347,17.76347,11,7,2024,5,RC,203.50544450080935,low,0.27717651435302865,1.0965000000000007,76.703,NA
5GW1,2024-07-11,DOC,118.715,118.715,11,7,2024,5,RC,203.50544450080935,low,0.27717651435302865,1.0965000000000007,76.703,NA
9GW2,2024-06-20,DIC,23.70548,23.70548,20,6,2024,9,RC,NA,NA,-0.17807975643923313,-0.02590000000000003,80.559,4.690124348001663
9GW2,2024-06-20,DOC,203.321,203.321,20,6,2024,9,RC,NA,NA,-0.17807975643923313,-0.02590000000000003,80.559,4.690124348001663
9GW3,2024-07-11,DIC,41.00435,41.00435,11,7,2024,9,RC,NA,NA,-0.17725435269052325,-0.02309999999999945,77.225,NA
9GW3,2024-07-11,DOC,157.596,157.596,11,7,2024,9,RC,NA,NA,-0.17725435269052325,-0.02309999999999945,77.225,NA
6GW2,2024-06-20,DIC,17.07587,17.07587,20,6,2024,6,RC,NA,NA,NA,NA,NA,4.033361094879728
6GW2,2024-06-20,DOC,148.687,148.687,20,6,2024,6,RC,NA,NA,NA,NA,NA,4.033361094879728
5GW2,2024-07-11,DIC,23.88311,23.88311,11,7,2024,5,RC,203.50544450080935,low,0.27717651435302865,1.0965000000000007,76.703,NA
5GW2,2024-07-11,DOC,125.5,125.5,11,7,2024,5,RC,203.50544450080935,low,0.27717651435302865,1.0965000000000007,76.703,NA
5GW5,2024-07-11,DIC,25.75682,25.75682,11,7,2024,5,RC,203.50544450080935,low,0.27717651435302865,1.0965000000000007,76.703,NA
5GW5,2024-07-11,DOC,151.519,151.519,11,7,2024,5,RC,203.50544450080935,low,0.27717651435302865,1.0965000000000007,76.703,NA
5GW5,2024-06-19,DIC,46.98647,46.98647,19,6,2024,5,RC,NA,NA,NA,NA,NA,3.8612412620382783
5GW5,2024-06-19,DOC,142.02,142.02,19,6,2024,5,RC,NA,NA,NA,NA,NA,3.8612412620382783
